Date,Content,Comment
2021-07-26,https://boxd.it/21oCwx,You're LYINGGGG i KNEW his voice sounded too familiar
2021-09-13,https://boxd.it/28qI3D,*paid*
2021-10-15,https://boxd.it/2cnAO7,"You’ve got to be kidding me, this is the worst take you’ve had"
2021-10-22,https://boxd.it/2dSuoj,As if these two would abide to CDC’s social distancing rules
2022-01-02,https://boxd.it/2g1wx9,OMG i was looking through your reviews and I ALREADY LIKED THIS ONE B4 I KNEW YOU???? If that’s not fate idk what is
2022-01-02,https://boxd.it/2g1wx9,"Oh wait... I was mistaken ;( j read it wrong and it says that you liked MY squid game review this app needs to work on its layout. Whatever, I will still give this one a like"
2022-01-02,https://boxd.it/2a8Fat,Haven’t watched this movie but the Million to one reprise is on my wedding playlist #sorrynotsorry
2022-01-25,https://boxd.it/2w7Juj,Bad take 🗣🗣🗣
2022-03-13,https://boxd.it/2EFMZ5,Now I haven’t watched this movie yet but.. sex sells baby and the lack of sex from these VIRGINS must have been what this movie was missing
2022-03-15,https://boxd.it/2FbT4T,Literally only survived 40 minutes of this.. so boring
2022-03-23,https://boxd.it/2GBJXl,"JUSTICE FOR JENNIFER

Even in 2020, she’s still playing a dumb blonde who can’t find love in the white lotus show"
2022-03-26,https://boxd.it/2FO9Ep,Don’t! It’s an absolute waste of your time
2022-04-15,https://boxd.it/2KyVTZ,"My absolute pleasure, I love to talk about myself within my reviews"
2022-04-22,https://boxd.it/2LQRMF,I can’t believe this is half a star from perfect.. what more do you want???
2022-05-03,https://boxd.it/2NWolP,This is your longest letterboxd review ever
2022-05-23,https://boxd.it/2R8eat,JUNO?? HALF A STAR??? … this is an irrefutably wrong critique
2022-06-27,https://boxd.it/2SqMY3,"Lilshartygirl69, I KNOW! The rewatch was 🔥🔥🔥"
2022-06-28,https://boxd.it/2YfB7f,"Rating: I’ll admit, is biased, because I know that you rated it high…

Review: I said everything I needed to say while watching the movie, so I don’t wanna repeat myself again 🔁

If I hadn’t said octopussy while watching, I would have just reviewed the movie with that one word!"
2022-06-28,https://boxd.it/2YfDif,She was a terrific maid! Exceeded expectations with her work ethic and how willing she was to “get down and dirty” as well!
2022-06-29,https://boxd.it/2YjCxV,This review ATE! Raving indeed🔥
2022-07-03,https://boxd.it/2YW7lR,Refusing to believe this is a “must watch”
2022-07-04,https://boxd.it/2ZhuNV,She is SO good in The Act
2022-07-04,https://boxd.it/2Z5FKJ,"She’s nothing like me.

You, on the other hand.."
2022-07-10,https://boxd.it/30p6Wf,The same piano ballad playing in the beginning and in the end 🥲
2022-07-10,https://boxd.it/3026sD,You’re in your hate watch era
2022-07-19,https://boxd.it/31SmrT,Omg you did not just make a tag for the movies you pirated
2022-07-19,https://boxd.it/31SmrT,"1. Yeah, DON'T tell me if I'm going to die if you know.
2.  Not throwing anyone under the bus, but be thankful I at least didn't make fun of the emotional audiences in the theatre with my date..."
2022-07-19,https://boxd.it/haPSW,Get rid of KIDS and it's perfect
2022-07-24,https://boxd.it/33jhNN,"I did NOT expect an actual written review from you, what a pleasant surprise!"
2022-07-24,https://boxd.it/2jjvnl,"^^ F!CK THIS MOVIE FORREAL, I CANT STAND HARMONY KORINE"
2022-07-24,https://boxd.it/haPSW,"If my KIDS watch KIDS, they arent mine anymore"
2022-08-05,https://boxd.it/360pf9,"This is the oldest movie ever like how did you cry, didn’t you KNOW what was gonna happen!?!"
2022-09-12,https://boxd.it/3dkhlr,But I didn’t! Why do you think your mom got home so late..
2022-09-30,https://boxd.it/3gNtFj,The death of biopics starts with BLONDE!
2022-09-30,https://boxd.it/3gNtFj,And will end with the Elvis one.. once I get around to watching
2022-10-22,https://boxd.it/3lur0F,OMG 3.5????
2022-11-05,https://boxd.it/3o87yv,Can’t believe you even gave this a chance😂😂
2022-11-23,https://boxd.it/3sxYbP,BE NICER! I PICKED THIS ONE OUT!
2022-12-02,https://boxd.it/3tRoMT,"My conspiracy is he, the angel wing guy, secretly (like everyone else in the movie) felt that he deserved this fate and just swallowed the water as he drowned. Everyone there already accepted their fate of death. That’s why no one tried to fight for their life or freedom. Anya deserved to live only cause she WANTED to live!

I liked the ending! Food is love. Food is life."
2022-12-06,https://boxd.it/3uzd3B,YOU'RE DONE HERE!
2022-12-16,https://boxd.it/3xgW5V,You rate a movie 2.5 and would still let that director hit?? Where are your standards!
2023-01-12,https://boxd.it/3EzXzj,#logang
2023-04-23,https://boxd.it/47Uk9f,I AM WATCHING THIS AT 4AM TOO
2023-06-11,https://boxd.it/4kCwrL,Your mother arouses me more than those sex scenes
2023-06-15,https://boxd.it/4hridL,This movie was adapted from Mona Simpson’s first book aka STEVE JOB’s BIOLOGICAL SISTER!
2023-07-23,https://boxd.it/4yE07z,Agree except that the Mattel subplot did not need to be there. The stakes were already high without them!
2023-08-03,https://boxd.it/4Ase3v,3/5??? Well this is a 0/5 review!
2023-08-05,https://boxd.it/4DTtf3,Dude and when she first saw Daniel and her friend hold hands is the reason why she wanted to try the hand for the first time….
2023-08-05,https://boxd.it/4E12Uz,I WASNT AND TAKE IT BACK!
2023-08-06,https://boxd.it/4E2CwF,"Trust me, I wish I had an agenda for rating it three besides finding this movie’s location in MID CITY!"
