Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-30,All the things I reference ,,https://boxd.it/hbCPs,

Position,Name,Year,URL,Description
1,The Dropout,2022,https://boxd.it/zilg,
2,It Happened One Night,1934,https://boxd.it/25Ng,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,Tangerine,2015,https://boxd.it/9QRe,
5,Accepted,2006,https://boxd.it/1XO6,
6,Normal People,2020,https://boxd.it/q2VY,
7,Frozen,2010,https://boxd.it/S8M,
8,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,
9,Thirteen,2003,https://boxd.it/1UPK,
10,Hoop Dreams,1994,https://boxd.it/1Opc,
11,Little Miss Sunshine,2006,https://boxd.it/29EW,
12,Your Name.,2016,https://boxd.it/cUqs,
13,Ratatouille,2007,https://boxd.it/27ww,
14,Malcolm & Marie,2021,https://boxd.it/r5cO,
15,BlacKkKlansman,2018,https://boxd.it/hxL8,
