Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-16,Dark movies,,https://boxd.it/cJSru,Black mirror vibes but only the good episodes like Shut Up and Dance and White Christmas

Position,Name,Year,URL,Description
1,Welcome to the Dollhouse,1995,https://boxd.it/1TPO,
2,Get Out,2017,https://boxd.it/eOCm,
3,Sorry to Bother You,2018,https://boxd.it/f21E,
4,Happiness,1998,https://boxd.it/1VEe,
5,Thirteen,2003,https://boxd.it/1UPK,
6,Elephant,2003,https://boxd.it/287i,
7,Black Swan,2010,https://boxd.it/Sw0,
8,Monster,2003,https://boxd.it/2afy,
9,Manhattan,1979,https://boxd.it/29Na,
10,An Education,2009,https://boxd.it/1xcg,
11,Oldboy,2003,https://boxd.it/29R2,
12,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8,
