Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-16,International films bc hollywood is boring me 🙄,,https://boxd.it/cJRRw,"As Michael Jackson said, we are the world 🌍"

Position,Name,Year,URL,Description
1,Tomboy,2011,https://boxd.it/49U,
2,Harami,2020,https://boxd.it/rPpu,
3,The Past,2013,https://boxd.it/4Ovg,
4,In the Mood for Love,2000,https://boxd.it/29tE,
5,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
6,Oldboy,2003,https://boxd.it/29R2,
7,Fawlty Towers Revisited,2005,https://boxd.it/6GJ4,
8,The Inbetweeners Movie,2011,https://boxd.it/2v50,
9,Still the Water,2014,https://boxd.it/7Ud4,
10,2/Duo,1997,https://boxd.it/4ENY,
11,The Lovers on the Bridge,1991,https://boxd.it/26li,
12,5 Centimeters per Second,2007,https://boxd.it/16G4,
13,Amélie,2001,https://boxd.it/2aUc,
14,We All Loved Each Other So Much,1974,https://boxd.it/XjK,
15,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C,
16,Trainspotting,1996,https://boxd.it/29XY,
17,Mommy,2014,https://boxd.it/7Uau,
18,The Worst Person in the World,2021,https://boxd.it/oyws,
19,Us and Them,2018,https://boxd.it/ip3a,
20,Better Days,2019,https://boxd.it/l9Ke,
21,Petite Maman,2021,https://boxd.it/s6je,
22,I Killed My Mother,2009,https://boxd.it/1ubO,
23,The Handmaiden,2016,https://boxd.it/948A,
