Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-03-04,🦭 + 🏍️,,https://boxd.it/lxOpG,

Position,Name,Year,URL,Description
1,WALL·E,2008,https://boxd.it/1VEo,
2,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
3,Ratatouille,2007,https://boxd.it/27ww,
4,Fight Club,1999,https://boxd.it/2a9q,
5,Cars,2006,https://boxd.it/29ho,
6,The Dropout,2022,https://boxd.it/zilg,
7,The Social Network,2010,https://boxd.it/17ue,
8,Slumdog Millionaire,2008,https://boxd.it/1S3E,
9,It Happened One Night,1934,https://boxd.it/25Ng,
