Date,Name,Year,Letterboxd URI
2021-07-26,Barbie: A Fashion Fairytale,2010,https://boxd.it/QSy
2022-04-14,Us and Them,2018,https://boxd.it/ip3a
2022-07-28,Miss Americana,2020,https://boxd.it/oifq
2022-12-13,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2022-12-13,Whiplash,2014,https://boxd.it/7bQA
2023-01-06,The Pianist,2002,https://boxd.it/2aqc
2023-03-17,WALL·E,2008,https://boxd.it/1VEo
2023-07-21,Barbie,2023,https://boxd.it/bCLK
2023-10-26,Reservoir Dogs,1992,https://boxd.it/2agc
2023-10-26,Snowpiercer,2013,https://boxd.it/3Icg
2023-12-20,Talk 2 Me,,https://boxd.it/HXPM
