Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-30,CRIED. SOBBED.,,https://boxd.it/hbCKs,(Happy or Sad) Tears!

Position,Name,Year,URL,Description
1,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8,
2,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
3,Your Name.,2016,https://boxd.it/cUqs,
4,Blackfish,2013,https://boxd.it/4Ym4,
5,Us and Them,2018,https://boxd.it/ip3a,
6,Normal People,2020,https://boxd.it/q2VY,
7,Lady Bird,2017,https://boxd.it/dGNE,
8,The Farewell,2019,https://boxd.it/kIky,
9,Inequality for All,2013,https://boxd.it/4Ynm,
10,Little Women,2019,https://boxd.it/aSVk,
