Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-26,Documentaries,,https://boxd.it/iqcKK,Snurfle

Position,Name,Year,URL,Description
1,Bernie Madoff: In His Own Words,2019,https://boxd.it/mW8U,
2,Inequality for All,2013,https://boxd.it/4Ynm,
3,Life and Debt,2001,https://boxd.it/1DJU,
4,Enron: The Smartest Guys in the Room,2005,https://boxd.it/1R0k,
5,The True Cost,2015,https://boxd.it/bgtO,
6,American Promise,2013,https://boxd.it/4YlK,
7,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8,
8,God Forbid: The Sex Scandal That Brought Down a Dynasty,2022,https://boxd.it/CtPC,
9,Keep This Between Us,2022,https://boxd.it/CDBg,
