Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-31,Movies everyone loves that I hate !,,https://boxd.it/eDd4A,

Position,Name,Year,URL,Description
1,Pretty Woman,1990,https://boxd.it/2b6M,
2,Sound of Metal,2019,https://boxd.it/i7Q4,
3,In the Mood for Love,2000,https://boxd.it/29tE,
4,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C,
5,The Lighthouse,2019,https://boxd.it/icFU,
6,Fresh,2022,https://boxd.it/tCNi,
7,Requiem for a Dream,2000,https://boxd.it/29VI,
8,A Cinderella Story,2004,https://boxd.it/1UgU,
9,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
10,Bones and All,2022,https://boxd.it/tLd4,
11,Atonement,2007,https://boxd.it/24ui,
12,La La Land,2016,https://boxd.it/a5fa,
13,Dune,2021,https://boxd.it/fA7G,
