Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-01,This is (not) Family Friendly ,,https://boxd.it/hc5Gk,"Movies about Heartbreak from Boys:😕 
Movies about Heartbreak from Family: 😭"

Position,Name,Year,URL,Description
1,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
2,Lady Bird,2017,https://boxd.it/dGNE,
3,The Farewell,2019,https://boxd.it/kIky,
4,Mommy,2014,https://boxd.it/7Uau,
5,Coraline,2009,https://boxd.it/1NhQ,
6,Minari,2020,https://boxd.it/mL9M,
7,Coco,2017,https://boxd.it/bYJQ,
8,Little Miss Sunshine,2006,https://boxd.it/29EW,
9,Thirteen,2003,https://boxd.it/1UPK,
10,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8,
11,A Raisin in the Sun,1961,https://boxd.it/1now,
12,American Promise,2013,https://boxd.it/4YlK,
13,Beautiful Boy,2018,https://boxd.it/g76Q,
14,Little Women,2019,https://boxd.it/aSVk,
