Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-07-17,Happiness,1998,https://boxd.it/202rPF,3,,"I’m gonna be blending both of the reactions I had for this movie: agreeing this to be one of the best dark comedies out there and the other believing it to be too twisted and cynical to be classified as something for entertainment purposes.

<blockquote>Honestly, I was so uncomfortable watching this movie and I think the main reason is because of how real it felt: the family felt real, the events were tragic but definitely based on reality, and how these situations and characters could be present in your own life without you knowing. </blockquote>Was I satisfied with the movie as a whole? Yes, I think. None of the scenes seemed out of place and for the runtime being more than two hours, that is kind of cool. 

<b>NOTE</b>: The scene before the title sequence is probably the best way to capture how the rest of the movie will pan out: starting innocently enough until the shift comes where suddenly the whole thing turns to 💩.","dark comedy, philip seymour hoffman",2021-07-16
2021-07-17,The Devil Wears Prada,2006,https://boxd.it/203Dyt,4.5,,"Both Emily from Emily in Paris and Andy from Devil Wears Prada are at the same level of oblivious when it comes to their job, but Andy is just more charismatic about it.

Something that caught most of my attention for the film was the progression of Andy's outfits and how well put together all the outfits were for the characters. It made the Runway Fashion environment much more believable and the scenes held much more power like when Miranda gives Andy that spiel about that cerulean blue sweater (Andy at the beginning of the movie definitely gave ""not like other girls"" energy). The whole movie just felt very believable and that's all I ask for.

I've seen better plot twists in other movies but since I felt connected to all the characters involved, this one had me feel equally as betrayed.

<b>NOTE</b>: John Krasinski was right about this being one of his wife's best acting roles.","anne hathaway, meryl streep, emily blunt, comedy",2021-07-16
2021-07-20,10 Cloverfield Lane,2016,https://boxd.it/20xRZj,4.5,,"I was not ready for the Cloverfield universe and don’t think I ever will be.

<blockquote>
First thing I noticed was how much character and details the set had (which is very important considering we are in one place for most of the movie and IMO the reason why <i>Split</i> and <i>The Room</i> wasn’t as good as it could have been but then again they have diff goals with their sets). And with all the little details on set, the movie makes sure to make a call back to all the little things like a picture frame, utensils, and even a board game. I wonder if the attention to detail is the director’s input and why he is so famous.</blockquote>
No one would be able to guess the ending of this movie and it’s just something you have to go blind to (like I did). The only reason why it’s not 5 stars is because of one specific scene, but I won’t spoil.

I’m reading the reviews on here and there’s a lot of praise for John Goodman or “the creepy bunker guy.” I personally did find myself being scared of the unpredictability of his character and had me physically cringe at some of the things he did. I’m not really someone that knows a lot about acting but maybe I’ll watch some more movies he stars in.","john goodman, dan trachtenberg",2021-07-19
2021-07-21,Sound of Metal,2019,https://boxd.it/20HbrJ,2.5,,"I can't say that this movie really amazed me or even was worth my time. However, I can still appreciate it for what it is even if the story was a little bland for my liking— a tough, apathetic guy is given some burden where he has to hang out with outcasts only to then self-reflect on who he formerly was and can now mature into the best version of himself. Sounds like A Walk to Remember but instead of Mandy Moore it’s a little deaf schoolboy?

It felt predictable all the way through and nothing in this movie had me go ""wow, good on them for changing the narrative in a way I couldn't expect"" so that is why this gets a not-so-high but earnest rating. 

What did I like about this movie: the scene where Ruben has to cut ties with the deaf house is the best scene because it shows the climax of Ruben's selfishness and I'm glad Joe put him in his place. I think it's good that we didn't have to see him saying goodbye to anyone when he left cause I don't think he deserved a proper farewell anyway from the housemates.",,2021-07-21
2021-07-22,(500) Days of Summer,2009,https://boxd.it/20LBux,4.5,,"Probably my favorite opening for any movie just because of the song that plays in the background during the montage. 

It's easy to hate Tom because of how down bad he is for Summer especially in the earlier days, but what this movie does well is portraying how humans are complicated and all Tom was doing was learning that the many people that come in and out of your life may only b lessons rather than your soulmates.","zooey deschanel, joseph gordon-levitt",2021-07-21
2021-07-26,"Girl, Interrupted",1999,https://boxd.it/21qcDL,4,,This one's for Angelina Jolie's micro bangs,"angelina jolie, winona ryder",2021-07-25
2021-07-26,Barbie: A Fashion Fairytale,2010,https://boxd.it/21s7kD,,Yes,Can’t believe all movies made after 2010 were brave enough to show their faces when this released,,2021-07-26
2021-07-29,Little Miss Sunshine,2006,https://boxd.it/21PE61,4,,"This is the best family coming-of-age movie I've watched and I saw Minari. 

One thing that prevents this from being a 5/5 is there wasn't enough attention on the mom; mom definitely had issues just like the rest of them but wasn't given enough screentime to air out her dirty laundry on what those were.

It's not until the closing scene came that I realized how attached I was to the Hoover family. After watching them drive 800+ miles, you start to feel like you're in that car as well.

NOTE: The pilot episode for Toddlers and Tiaras (2009)
",steve carell,2021-07-28
2021-07-31,In the Mood for Love,2000,https://boxd.it/222JLp,2.5,,"This is more a collection of thought-out, beautiful screen captures than an actual movie. The best aspects were the shots where half of the frame is half cluttered with the apartment's belongings, conveying the atmosphere well and how busy and crowded Hong Kong can be.

I didn't care for the characters much, so most of the plot was lackluster for me. I wish that I liked this more.",,2021-07-30
2021-08-01,Hoop Dreams,1994,https://boxd.it/22eBP3,5,,Young spike lee being in this was a pleasant surprise,,2021-07-31
