Date,Name,Year,Letterboxd URI
2021-07-23,The Shape of Water,2017,https://boxd.it/dZ5m
2021-08-04,Lost in Translation,2003,https://boxd.it/2b0E
2021-08-04,A Beautiful Mind,2001,https://boxd.it/2amk
2021-09-23,Watch Me As I Go,2021,https://boxd.it/x2HQ
2021-10-23,The Godfather,1972,https://boxd.it/2aNK
2021-10-31,Last Night in Soho,2021,https://boxd.it/lbJC
2021-11-14,Mary and Max,2009,https://boxd.it/1y2m
2021-11-16,American Psycho,2000,https://boxd.it/28Vs
2021-11-22,Love Streams,1984,https://boxd.it/zOk
2021-11-22,I Don't Want to Sleep Alone,2006,https://boxd.it/1St8
2021-11-22,Joker,2019,https://boxd.it/h4cS
2021-11-22,Marriage Story,2019,https://boxd.it/hJAw
2021-11-22,Citizen Kane,1941,https://boxd.it/71O
2021-12-25,Trainspotting,1996,https://boxd.it/29XY
2021-12-31,Annette,2021,https://boxd.it/f0RS
2022-01-05,The Graduate,1967,https://boxd.it/18Im
2022-01-06,A Brighter Summer Day,1991,https://boxd.it/1Luy
2022-01-09,Titane,2021,https://boxd.it/nlQC
2022-01-09,Drive My Car,2021,https://boxd.it/sv94
2022-01-09,First Reformed,2017,https://boxd.it/go9C
2022-01-15,All That Jazz,1979,https://boxd.it/1JB8
2022-02-02,Faces,1968,https://boxd.it/29Ia
2022-02-22,Ingrid Goes West,2017,https://boxd.it/evUQ
2022-02-22,Black Bear,2020,https://boxd.it/n8ru
2022-02-26,Wuthering Heights,2011,https://boxd.it/1YRU
2022-02-26,Jackass Forever,2022,https://boxd.it/opUg
2022-03-17,Mulholland Drive,2001,https://boxd.it/297o
2022-04-06,My Cousin Vinny,1992,https://boxd.it/1WpO
2022-05-01,Rascal Does Not Dream of a Dreaming Girl,2019,https://boxd.it/l0cC
2022-05-11,What Dreams May Come,1998,https://boxd.it/1SoM
2022-05-23,Love and Monsters,2020,https://boxd.it/lJ6E
2022-05-23,Hustlers,2019,https://boxd.it/jIBM
2022-05-31,Carol,2015,https://boxd.it/7DPK
2022-06-01,Breathless,1960,https://boxd.it/2aIK
2022-06-24,Arsenic and Old Lace,1944,https://boxd.it/2aRW
2022-06-24,No Man of Her Own,1932,https://boxd.it/1arM
2022-06-27,Enter the Void,2009,https://boxd.it/1dy2
2022-06-27,Surf's Up,2007,https://boxd.it/1YKY
2022-06-30,Us and Them,2018,https://boxd.it/ip3a
2022-06-30,I Killed My Mother,2009,https://boxd.it/1ubO
2022-07-01,Do the Right Thing,1989,https://boxd.it/29gA
2022-07-01,Grave of the Fireflies,1988,https://boxd.it/1RUM
2022-07-02,Modern Times,1936,https://boxd.it/25MC
2022-07-10,Before Sunset,2004,https://boxd.it/2bcg
2022-07-10,Boogie Nights,1997,https://boxd.it/23um
2022-07-16,The King's Speech,2010,https://boxd.it/dX0
2022-07-25,RRR,2022,https://boxd.it/ljDs
2022-08-03,When Harry Met Sally...,1989,https://boxd.it/29W2
2022-08-09,Manchester by the Sea,2016,https://boxd.it/b2L0
2022-08-09,When Marnie Was There,2014,https://boxd.it/78pm
2022-08-19,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2022-09-11,The Love Witch,2016,https://boxd.it/cZie
2022-09-16,On the Ropes,1999,https://boxd.it/3Nc6
2022-09-16,Jane,2017,https://boxd.it/gStC
2022-09-16,Only Yesterday,1991,https://boxd.it/1MR4
2022-10-12,Murmur of Youth,1997,https://boxd.it/46O4
2022-10-28,Decision to Leave,2022,https://boxd.it/qp9e
2022-11-01,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS
2022-11-08,A Streetcar Named Desire,1951,https://boxd.it/29Mc
2022-11-29,V for Vendetta,2005,https://boxd.it/29Ik
2022-11-29,Blue,2002,https://boxd.it/3q1k
2022-12-14,Videodrome,1983,https://boxd.it/29uC
2023-01-02,Costa Concordia: Chronicle of a Disaster,2022,https://boxd.it/yW0U
2023-01-15,Kadaisi Vivasayi,2021,https://boxd.it/mGrm
2023-01-15,Joyland,2022,https://boxd.it/AlzM
2023-01-15,A Brutal Pact: The Murder of Daniella Perez,2022,https://boxd.it/C9S2
2023-06-11,Cinema Paradiso,1988,https://boxd.it/1UlA
2023-06-13,The Secret Garden,1993,https://boxd.it/1Uim
2023-07-11,Shithouse,2020,https://boxd.it/nCFc
2023-07-11,Cha Cha Real Smooth,2022,https://boxd.it/uF8E
2023-07-21,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW
2023-08-03,By the Sea,2015,https://boxd.it/a86q
2023-08-04,They Cloned Tyrone,2023,https://boxd.it/rE7a
2023-09-16,Chef,2014,https://boxd.it/6lCG
2023-10-12,Promising Young Woman,2020,https://boxd.it/loRE
2023-12-20,Talk 2 Me,,https://boxd.it/HXPM
2023-12-30,Spencer,2021,https://boxd.it/qPMG
